0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:30 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=jhfjgj HTTP/1.1" 200 3916
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:31 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:31 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:31 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:31 +0530] "GET /LestLearnBootstrap/img/w3newbie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:31 +0530] "GET /LestLearnBootstrap/img/mountains.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:31 +0530] "GET /LestLearnBootstrap/img/red.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:31 +0530] "GET /LestLearnBootstrap/img/snow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:32 +0530] "GET /LestLearnBootstrap/nestedGrid.jsp?uname=jhfjgj HTTP/1.1" 200 3916
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:33 +0530] "GET /LestLearnBootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:33 +0530] "GET /LestLearnBootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2018:15:25:33 +0530] "GET /LestLearnBootstrap/jquery-3.2.1.js HTTP/1.1" 304 -
